line,over,sport_baseball,sport_basketball,sport_basketball_first_half,sport_esports,sport_football,sport_football_player_prop,sport_hockey,sport_other,sport_soccer
109.5,0,False,False,True,False,False,False,False,False,False
222.5,1,False,True,False,False,False,False,False,False,False
114.5,0,False,False,True,False,False,False,False,False,False
221.5,1,False,True,False,False,False,False,False,False,False
113.5,0,False,False,True,False,False,False,False,False,False
220.5,1,False,True,False,False,False,False,False,False,False
223.5,1,False,True,False,False,False,False,False,False,False
232.5,1,False,True,False,False,False,False,False,False,False
119.5,1,False,False,True,False,False,False,False,False,False
231.5,1,False,True,False,False,False,False,False,False,False
118.5,1,False,False,True,False,False,False,False,False,False
230.5,1,False,True,False,False,False,False,False,False,False
229.5,1,False,True,False,False,False,False,False,False,False
228.5,1,False,True,False,False,False,False,False,False,False
229.5,1,False,True,False,False,False,False,False,False,False
118.5,0,False,False,True,False,False,False,False,False,False
230.5,1,False,True,False,False,False,False,False,False,False
231.5,1,False,True,False,False,False,False,False,False,False
119.5,0,False,False,True,False,False,False,False,False,False
42.5,1,False,False,False,False,True,False,False,False,False
44.5,0,False,False,False,False,True,False,False,False,False
47.5,0,False,False,False,False,True,False,False,False,False
50.5,0,False,False,False,False,True,False,False,False,False
52.5,0,False,False,False,False,True,False,False,False,False
49.5,0,False,False,False,False,True,False,False,False,False
230.5,1,False,True,False,False,False,False,False,False,False
231.5,1,False,True,False,False,False,False,False,False,False
112.5,1,False,False,True,False,False,False,False,False,False
232.5,1,False,True,False,False,False,False,False,False,False
234.5,1,False,True,False,False,False,False,False,False,False
235.5,1,False,True,False,False,False,False,False,False,False
113.5,1,False,False,True,False,False,False,False,False,False
236.5,1,False,True,False,False,False,False,False,False,False
6.5,0,False,False,False,False,False,False,True,False,False
5.5,0,False,False,False,False,False,False,True,False,False
2.5,1,False,False,False,True,False,False,False,False,False
237.5,0,False,True,False,False,False,False,False,False,False
121.5,0,False,False,True,False,False,False,False,False,False
236.5,0,False,True,False,False,False,False,False,False,False
235.5,0,False,True,False,False,False,False,False,False,False
234.5,0,False,True,False,False,False,False,False,False,False
122.5,0,False,False,True,False,False,False,False,False,False
231.5,1,False,True,False,False,False,False,False,False,False
119.5,1,False,False,True,False,False,False,False,False,False
230.5,1,False,True,False,False,False,False,False,False,False
232.5,1,False,True,False,False,False,False,False,False,False
118.5,1,False,False,True,False,False,False,False,False,False
2.5,0,False,False,False,True,False,False,False,False,False
6.5,1,False,False,False,False,False,False,True,False,False
5.5,1,False,False,False,False,False,False,True,False,False
6.5,1,False,False,False,False,False,False,True,False,False
5.5,1,False,False,False,False,False,False,True,False,False
2.5,0,False,False,False,True,False,False,False,False,False
6.5,0,False,False,False,False,False,False,True,False,False
5.5,0,False,False,False,False,False,False,True,False,False
5.5,0,False,False,False,False,False,False,True,False,False
6.5,0,False,False,False,False,False,False,True,False,False
5.5,0,False,False,False,False,False,False,True,False,False
1.5,1,False,False,False,False,False,False,False,False,True
2.5,1,False,False,False,False,False,False,False,False,True
3.5,1,False,False,False,False,False,False,False,False,True
1.5,1,False,False,False,False,False,False,False,False,True
2.5,1,False,False,False,False,False,False,False,False,True
3.5,1,False,False,False,False,False,False,False,False,True
5.5,1,False,False,False,False,False,False,True,False,False
6.5,1,False,False,False,False,False,False,True,False,False
6.5,0,False,False,False,False,False,False,True,False,False
5.5,0,False,False,False,False,False,False,True,False,False
5.5,0,True,False,False,False,False,False,False,False,False
1.5,0,False,False,False,False,False,False,False,False,True
2.5,0,False,False,False,False,False,False,False,False,True
3.5,0,False,False,False,False,False,False,False,False,True
149.5,0,False,True,False,False,False,False,False,False,False
148.5,0,False,True,False,False,False,False,False,False,False
1.5,1,False,False,False,False,False,False,False,False,True
2.5,1,False,False,False,False,False,False,False,False,True
3.5,1,False,False,False,False,False,False,False,False,True
42.5,1,False,False,False,False,True,False,False,False,False
44.5,1,False,False,False,False,True,False,False,False,False
47.5,1,False,False,False,False,True,False,False,False,False
50.5,1,False,False,False,False,True,False,False,False,False
52.5,1,False,False,False,False,True,False,False,False,False
49.5,1,False,False,False,False,True,False,False,False,False
153.5,1,False,True,False,False,False,False,False,False,False
152.5,1,False,True,False,False,False,False,False,False,False
154.5,1,False,True,False,False,False,False,False,False,False
155.5,1,False,True,False,False,False,False,False,False,False
6.5,0,False,False,False,False,False,False,True,False,False
